Mississippi,English
Oklahoma,"English (Choctaw official within Choctaw Nation, Cherokee official within Cherokee Nation and UKB)"
Delaware,No official language detected.
Minnesota,No official language detected.
Illinois,English
Arkansas,English
New Mexico,No official language detected.
Indiana,English
Maryland,"None (English, de facto)"
Louisiana,No official language
Idaho,English
Wyoming,English
Tennessee,English
Arizona,English
Iowa,No official language detected.
Michigan,"None (English, de facto)"
Kansas,English
Utah,English
Virginia,English
Oregon,De jure: none De facto: English
Connecticut,None
Montana,English
California,English
Massachusetts,English
West Virginia,De jure: English
South Carolina,English
New Hampshire,English (French allowed for official business with Quebec)
Wisconsin,No official language detected.
Vermont,No official language detected.
Georgia,No official language detected.
North Dakota,No official language detected.
Pennsylvania,None
Florida,English
Alaska,"English, Inupiat, Central Siberian Yupik, Central Alaskan Yup'ik, Alutiiq, Aleut, Dena'ina, Deg Xinag, Holikachuk, Koyukon, Upper Kuskokwim, Gwich'in, Lower Tanana, Upper Tanana, Tanacross, H&#228;n, Ahtna, Eyak, Tlingit, Haida, Coast Tsimshian"
Kentucky,English
Hawaii,"English, Hawaiian"
Nebraska,English
Missouri,English
Ohio,De jure: None De facto: English
Alabama,English
Rhode Island,De jure: None De facto: English
South Dakota,English
Colorado,No official language detected.
New Jersey,None
Washington,None (de jure) English (de facto)
North Carolina,English
New York,None
Texas,No official language (see Languages spoken in Texas)
Nevada,De jure: None De facto: English
Maine,None
